"id";"user_id";"style";"retail";"upc";"total";"total_wholesale";"total_cost";"sales";"sell_through";"ranking";"season";"created_at";"updated_at"
"1";"41";"est";"velit";"9787625615314";"1.00";"175.00";"194.00";"2021-02-17";"2021-02-17";"5";"eaque";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"2";"1";"deleniti";"dolores";"9789448024830";"44.00";"150.00";"23.00";"2021-02-17";"2021-02-17";"3";"tempora";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"3";"87";"voluptas";"totam";"9794275255029";"75.00";"92.00";"56.00";"2021-02-17";"2021-02-17";"3";"aspernatur";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"4";"80";"aspernatur";"inventore";"9788741875989";"27.00";"144.00";"123.00";"2021-02-17";"2021-02-17";"5";"libero";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"5";"100";"ut";"praesentium";"9796362876346";"40.00";"45.00";"15.00";"2021-02-17";"2021-02-17";"1";"delectus";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"6";"16";"aut";"aut";"9780564818907";"12.00";"9.00";"163.00";"2021-02-17";"2021-02-17";"2";"minus";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"7";"83";"dicta";"quidem";"9795679464277";"55.00";"37.00";"161.00";"2021-02-17";"2021-02-17";"5";"explicabo";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"8";"54";"dignissimos";"vel";"9799425533774";"73.00";"142.00";"126.00";"2021-02-17";"2021-02-17";"2";"voluptates";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"9";"13";"nostrum";"quo";"9783947663989";"65.00";"93.00";"152.00";"2021-02-17";"2021-02-17";"4";"veniam";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"10";"8";"dolorum";"eaque";"9785594907430";"62.00";"54.00";"162.00";"2021-02-17";"2021-02-17";"5";"fugit";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"11";"92";"adipisci";"sit";"9782752391483";"27.00";"84.00";"31.00";"2021-02-17";"2021-02-17";"3";"omnis";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"12";"33";"ad";"quae";"9796568377494";"31.00";"78.00";"93.00";"2021-02-17";"2021-02-17";"1";"soluta";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"13";"11";"aut";"cumque";"9790105836239";"60.00";"35.00";"72.00";"2021-02-17";"2021-02-17";"4";"ullam";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"14";"53";"natus";"iusto";"9782416855528";"4.00";"20.00";"152.00";"2021-02-17";"2021-02-17";"4";"possimus";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"15";"88";"et";"deleniti";"9793076609079";"44.00";"142.00";"55.00";"2021-02-17";"2021-02-17";"4";"aut";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"16";"88";"odit";"et";"9799682026774";"98.00";"49.00";"83.00";"2021-02-17";"2021-02-17";"2";"in";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"17";"4";"voluptatem";"excepturi";"9782987995081";"20.00";"63.00";"99.00";"2021-02-17";"2021-02-17";"2";"veniam";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"18";"72";"magnam";"iste";"9797930348029";"57.00";"134.00";"26.00";"2021-02-17";"2021-02-17";"3";"inventore";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"19";"100";"tenetur";"quidem";"9790877818488";"54.00";"107.00";"178.00";"2021-02-17";"2021-02-17";"1";"voluptatem";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"20";"24";"consequuntur";"error";"9786728484179";"80.00";"68.00";"177.00";"2021-02-17";"2021-02-17";"3";"dolorem";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"21";"98";"rerum";"ipsa";"9798593295682";"72.00";"53.00";"15.00";"2021-02-17";"2021-02-17";"5";"dolore";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"22";"70";"officia";"sint";"9798429766300";"94.00";"116.00";"179.00";"2021-02-17";"2021-02-17";"3";"consectetur";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
"23";"59";"vel";"est";"9796116925672";"59.00";"108.00";"178.00";"2021-02-17";"2021-02-17";"3";"sapiente";"2021-02-17 14:45:36";"2021-02-17 14:45:36"
